day,pedestrians,to_manhattan,to_brooklyn
2/1/20,6927,3445,3482
2/2/20,5567,2880,2687
2/3/20,11134,5709,5425
2/4/20,5992,3057,2935
2/5/20,8512,4144,4368
2/6/20,7902,4093,3809
2/7/20,1558,816,742
2/8/20,9809,5026,4783
2/9/20,9313,4768,4545
2/10/20,9512,5113,4399
2/11/20,3549,2077,1472
2/12/20,14081,7173,6908
2/13/20,11004,5426,5578
2/14/20,11055,5703,5352
2/15/20,11355,5926,5429
2/16/20,8183,4204,3979
2/17/20,14634,7051,7583
2/18/20,19458,10228,9230
2/19/20,12605,6015,6590
2/20/20,15398,7738,7660
2/21/20,17205,8697,8508
2/22/20,5486,2844,2642
2/23/20,6432,3236,3196
2/24/20,14182,7033,7149
2/25/20,5864,3137,2727
2/26/20,13643,7061,6582
2/27/20,13036,6439,6597
2/28/20,11448,5641,5807